root1	root2	image1	root1	root2	image2	positive
MeGlass_mtcnnpyp_160_32	meglass_120	11590243@N05_identity_1@1149203981_5	MeGlass_mtcnnpyp_160_32	meglass_120	11590243@N05_identity_1@5619314551_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11590243@N05_identity_1@1149950788_0	MeGlass_mtcnnpyp_160_32	meglass_120	11590243@N05_identity_1@1149953704_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11594851@N00_identity_1@40475643_0	MeGlass_mtcnnpyp_160_32	meglass_120	11594851@N00_identity_1@42820364_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11594851@N00_identity_1@40475790_0	MeGlass_mtcnnpyp_160_32	meglass_120	11594851@N00_identity_1@42820356_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11598937@N08_identity_4@9910716466_1	MeGlass_mtcnnpyp_160_32	meglass_120	11598937@N08_identity_4@1736253931_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11598937@N08_identity_4@9910844613_1	MeGlass_mtcnnpyp_160_32	meglass_120	11598937@N08_identity_4@1247990926_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11611067@N02_identity_19@11302310595_0	MeGlass_mtcnnpyp_160_32	meglass_120	11611067@N02_identity_19@6333178661_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11611067@N02_identity_19@11302346595_3	MeGlass_mtcnnpyp_160_32	meglass_120	11611067@N02_identity_19@6333174221_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11611067@N02_identity_24@10988642843_1	MeGlass_mtcnnpyp_160_32	meglass_120	11611067@N02_identity_24@9138758741_2	1
MeGlass_mtcnnpyp_160_32	meglass_120	11611067@N02_identity_24@10988648303_0	MeGlass_mtcnnpyp_160_32	meglass_120	11611067@N02_identity_24@5173638764_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11611067@N02_identity_3@10261634334_1	MeGlass_mtcnnpyp_160_32	meglass_120	11611067@N02_identity_3@11865706356_2	1
MeGlass_mtcnnpyp_160_32	meglass_120	11611067@N02_identity_3@10261788395_0	MeGlass_mtcnnpyp_160_32	meglass_120	11611067@N02_identity_3@11865703076_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	116364072@N02_identity_5@12323721405_0	MeGlass_mtcnnpyp_160_32	meglass_120	116364072@N02_identity_5@12343334424_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	116364072@N02_identity_5@12329235254_0	MeGlass_mtcnnpyp_160_32	meglass_120	116364072@N02_identity_5@12343312614_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11647264@N05_identity_48@5238942303_0	MeGlass_mtcnnpyp_160_32	meglass_120	11647264@N05_identity_48@5820469555_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11647264@N05_identity_48@5239004753_0	MeGlass_mtcnnpyp_160_32	meglass_120	11647264@N05_identity_48@5820395101_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11647264@N05_identity_65@8259726166_1	MeGlass_mtcnnpyp_160_32	meglass_120	11647264@N05_identity_65@6059760165_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11647264@N05_identity_65@8259756450_1	MeGlass_mtcnnpyp_160_32	meglass_120	11647264@N05_identity_65@6059758359_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11647264@N05_identity_93@5820977442_0	MeGlass_mtcnnpyp_160_32	meglass_120	11647264@N05_identity_93@6059556027_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11647264@N05_identity_93@5820977786_1	MeGlass_mtcnnpyp_160_32	meglass_120	11647264@N05_identity_93@5820544533_5	1
MeGlass_mtcnnpyp_160_32	meglass_120	11677434@N04_identity_42@2934798665_0	MeGlass_mtcnnpyp_160_32	meglass_120	11677434@N04_identity_42@2934600591_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11677434@N04_identity_42@2935562350_0	MeGlass_mtcnnpyp_160_32	meglass_120	11677434@N04_identity_42@2921970509_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11707394@N00_identity_4@1519903723_1	MeGlass_mtcnnpyp_160_32	meglass_120	11707394@N00_identity_4@2446302257_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11707394@N00_identity_4@2124685775_1	MeGlass_mtcnnpyp_160_32	meglass_120	11707394@N00_identity_4@1520686692_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	11724697@N00_identity_0@2400783349_0	MeGlass_mtcnnpyp_160_32	meglass_120	11724697@N00_identity_0@2401564510_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11724697@N00_identity_0@2424384291_0	MeGlass_mtcnnpyp_160_32	meglass_120	11724697@N00_identity_0@2389842958_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	11729442@N05_identity_115@8058028865_0	MeGlass_mtcnnpyp_160_32	meglass_120	11729442@N05_identity_115@8058087029_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11729442@N05_identity_115@8058030915_0	MeGlass_mtcnnpyp_160_32	meglass_120	11729442@N05_identity_115@8058083375_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11729442@N05_identity_8@6803178963_0	MeGlass_mtcnnpyp_160_32	meglass_120	11729442@N05_identity_8@6803160481_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11729442@N05_identity_8@6803221657_0	MeGlass_mtcnnpyp_160_32	meglass_120	11729442@N05_identity_8@6802982425_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	117419232@N04_identity_9@12502874455_0	MeGlass_mtcnnpyp_160_32	meglass_120	117419232@N04_identity_9@12522123155_3	1
MeGlass_mtcnnpyp_160_32	meglass_120	117419232@N04_identity_9@12503437634_1	MeGlass_mtcnnpyp_160_32	meglass_120	117419232@N04_identity_9@12500891053_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11831132@N00_identity_2@2291905223_0	MeGlass_mtcnnpyp_160_32	meglass_120	11831132@N00_identity_2@163371847_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	11831132@N00_identity_2@4850483048_0	MeGlass_mtcnnpyp_160_32	meglass_120	11831132@N00_identity_2@1153742431_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11848452@N00_identity_0@294494770_0	MeGlass_mtcnnpyp_160_32	meglass_120	11848452@N00_identity_0@1076313431_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11848452@N00_identity_0@296543702_0	MeGlass_mtcnnpyp_160_32	meglass_120	11848452@N00_identity_0@1076308083_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	11880483@N03_identity_15@6812929430_1	MeGlass_mtcnnpyp_160_32	meglass_120	11880483@N03_identity_15@6852268066_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11880483@N03_identity_15@6952650953_0	MeGlass_mtcnnpyp_160_32	meglass_120	11880483@N03_identity_15@4666373387_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	11905293@N06_identity_0@2934875321_0	MeGlass_mtcnnpyp_160_32	meglass_120	11905293@N06_identity_0@2612959391_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11905293@N06_identity_0@2934877805_0	MeGlass_mtcnnpyp_160_32	meglass_120	11905293@N06_identity_0@2271645876_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	11919328@N00_identity_9@2142631886_0	MeGlass_mtcnnpyp_160_32	meglass_120	11919328@N00_identity_9@2729191076_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	11919328@N00_identity_9@3890614864_0	MeGlass_mtcnnpyp_160_32	meglass_120	11919328@N00_identity_9@2728363433_1	1
MeGlass_mtcnnpyp_160_32	meglass_120	12078789@N00_identity_0@2858099833_0	MeGlass_mtcnnpyp_160_32	meglass_120	12078789@N00_identity_0@2253688011_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	12078789@N00_identity_0@2858116733_0	MeGlass_mtcnnpyp_160_32	meglass_120	12078789@N00_identity_0@2253674457_0	1
MeGlass_mtcnnpyp_160_32	meglass_120	12172123@N00_identity_1@2988706920_0	MeGlass_mtcnnpyp_160_32	meglass_120	12172123@N00_identity_1@4126395389_0	1
